2Dmemory	2Dmemory<br>二度半存储器
complementary metal-oxide semiconductor(CMOS)log-ic	complementary metal-oxide semiconductor(CMOS)log-ic<br>互补金属氧化物半导体逻辑(电路)
complementary operation	complementary operation<br>互补运算
complementary operator	complementary operator<br>求反(运)算符;［互补运算子］
complementary record	complementary record<br>补记录
complementation	complementation<br>求反(运算)
complement base	complement base<br>补码基(数)
complemented lattice	complemented lattice<br>互补点［格］网
complementer	complementer<br>求补器,反相器
complement form	complement form<br>补码形式
complementing	complementing<br>求补法
complement number system	complement number system<br>补码［数］制［系统］
complement of one's	complement of one's<br>基数减去1补码,二进制反码,模-补码
complement on N-1	complement on N-1<br>基数减1补码,N进制反码
complement-on-nine	complement-on-nine<br>模九补码,十进制反码
complement-on-one	complement-on-one<br>模一补码,(二进制)反码,基数减1补码
complement-on-ten	complement-on-ten<br>模十补码,十进制补码
complement-on-two	complement-on-two<br>模二补码,(二进制)补码
complete binary tree	complete binary tree<br>完全［备］二叉树
complete carry	complete carry<br>完全进位(法)
complete graph	complete graph<br>完全图
completeness check	completeness check<br>完全性检查
completeness errors	completeness errors<br>完全性错误
complete operation	complete operation<br>完整操作;［完全业］
complete program	complete program<br>完整程序;［完全程序］
complete routine	complete routine<br>完整(例行)程序;［完全常式］
complete tree	complete tree<br>完全树
completion code	completion code<br>完成(优态)码
completion code control block	completion code control block<br>完成码控制块
completion message	completion message<br>完成信息
completion routine	completion routine<br>完成程序
complex	complex<br>【修】复杂的,综合的
complex bipolar	complex bipolar<br>复合双极性(工艺,技术)
complex condition	complex condition<br>复合条件
complex constant	complex constant<br>复(数型)常数;［复合常数］
complex data	complex data<br>复数数据;［核数资料］
complex data type	complex data type<br>复数类型
complex decision-making simulation	complex decision-making simulation<br>复杂决策仿真
complex declaration statement	complex declaration statement<br>复数类型说明语句
complexity	complexity<br>复杂性
complexity function	complexity function<br>复杂性函数
complexity of computation	complexity of computation<br>计算复杂性
complex number	complex number<br>复数
complex relocatable expression	complex relocatable expression<br>复杂可重定位表达式
compliance testing	compliance testing<br>符合试验法
component	component<br>元［部,组］件,成［部］分
component address	component address<br>部件地址
component density	component density<br>元件密度
component derating	component derating<br>元件降额使用法;［组件降额使用］
component entry	component entry<br>部件表目
component error	component error<br>元件误差
component failure impact analysis(CFIA)	component failure impact analysis(CFIA)<br>部件故障影响分析
component signal coding	component signal coding<br>分量信号编码法
component stress	component stress<br>元件载荷强度
component symbol	component symbol<br>元件符号
component video	component video<br>(彩色)电视信号分量
composed page	composed page<br>排版页
composed-text block	composed-text block<br>正文排版分程序［控制块］
composed-text data stream	composed-text data stream<br>正文排版数据流
composed-text page	composed-text page<br>正文排版页
composed-text print data set	composed-text print data set<br>正文排版印刷数据集
compose-edit processor	compose-edit processor<br>排版编辑处理程序
composite cable	composite cable<br>复合电缆
composite circuit	composite circuit<br>复［组］合线［电］路;［复成电路］
composite colour video signal	composite colour video signal<br>组合彩色视频信号,全彩色电视信号
composite conductor	composite conductor<br>复合导线
composite console	composite console<br>组合控制台
composited circuit	composited circuit<br>复［组］合线［电］路
composite external symbol dictionary(CESD)	composite external symbol dictionary(CESD)<br>组合外部符号词典
composite file	composite file<br>组合文件［卷］
composite filter	composite filter<br>组合滤波器
composite index	composite index<br>复合索引
composite key	composite key<br>复合关键字
composite layout object	composite layout object<br>合成布局客体
composite logical object	composite logical object<br>合成逻辑客体
composite module	composite module<br>组合模块
composite module data set	composite module data set<br>组合模块数据集
composite module library	composite module library<br>组合模块库
composite operator	composite operator<br>组［复］合算［操作］符
composite signal coding	composite signal coding<br>混合信号编码法
composite terminal	composite terminal<br>组［复］合终端
composite video signal	composite video signal<br>复合视频信号
composition	composition<br>合成法;排版
composition error	composition error<br>排版错误
composition size	composition size<br>字模大小
compound condition	compound condition<br>复合条件
compound logical element	compound logical element<br>复合逻辑元件
compound signal	compound signal<br>复合［合成］信号
compound statement	compound statement<br>复合语句;［复合叙述］
compound switching	compound switching<br>复合交换法
compress	compress<br>【动】压缩
compressed disk file	compressed disk file<br>压缩磁盘文件;［压缩磁碟档案］
compressed encoding	compressed encoding<br>压缩编码法
compressed index	compressed index<br>压缩索引
compressed pattern storage	compressed pattern storage<br>压缩字模存储器
compress format	compress format<br>压缩格式
compressing terminal	compressing terminal<br>压缩终端
compression	compression<br>压缩(技术)
compression ratio	compression ratio<br>压缩率
compressor	compressor<br>压缩器
compressor expander	compressor expander<br>(压)缩(扩)展器
compress technique	compress technique<br>压缩技术
COM printer	COM printer<br>计算机缩微胶片输出印刷机
COMPROC	COMPROC<br>命令处理程序
compromise	compromise<br>泄(露秘)密
COMPUNICATIONS	COMPUNICATIONS<br>计算机与通信技术
CompuServe	CompuServe<br>计算机服务
computable function	computable function<br>可计算函数
computation	computation<br>计算(技术)
computational chemistry	computational chemistry<br>计算化学
computational complexity	computational complexity<br>计算复杂性
computational format	computational format<br>计算格式
computationally infeasible	computationally infeasible<br>【修】计算不可行的
computationally secure	computationally secure<br>【修】计算安全
computationally strong	computationally strong<br>【修】计算安全
computational physics	computational physics<br>计算物理(学)
computational psychology	computational psychology<br>计算心理学
computational seismology	computational seismology<br>计算地震学
computational stability	computational stability<br>计算稳定性
computational stereo	computational stereo<br>计算立体视技术
computation center	computation center<br>计算中心
computations	computations<br>计算指令
compute	compute<br>【动】计算
compute-bound	compute-bound<br>【修】受计算(量)限制的;［计算设限］
computed GO TO statement	computed GO TO statement<br>计算转向语句
compute-limited	compute-limited<br>【修】受计算(量)限制的;［计算设限］
compute mode	compute mode<br>计算方式［状态］;［计算模态］
computer	computer<br>计算机;［电脑］
computer abuse	computer abuse<br>计算机滥用
computer administrative records	computer administrative records<br>计算机管理记录;［电脑管理记录］
computer-aided circuit analysis	computer-aided circuit analysis<br>计算机电路分析法;［电脑电路分析］
computer-aided design(CAD)	computer-aided design(CAD)<br>计算机辅助设计(系统);［电脑协助设计］
computer-aided dispatch	computer-aided dispatch<br>计算机辅助快递(法)
computer-aided engineering(CAE)	computer-aided engineering(CAE)<br>计算机辅助工程(软件)
computer-aided instruction(CAI)	computer-aided instruction(CAI)<br>计算机辅助教学(法);［电脑协助教学］
computer-aided learning (CAL)	computer-aided learning (CAL)<br>计算机辅助学习(法);［电脑协助学习］
computer-aided management of instruction	computer-aided management of instruction<br>计算机辅助教学管理;［电脑协助的教学管理］
computer-aided manufacture (CAM)	computer-aided manufacture (CAM)<br>计算机辅助制造［生产］
computer-aided manufacturing (CAM)	computer-aided manufacturing (CAM)<br>计算机辅助制造［生产］(技术)
computer-aided page make-up	computer-aided page make-up<br>计算机辅助页面编排
computer-aided part programming	computer-aided part programming<br>计算机辅助零件程序设计;［电脑协助零件程式规划］
computer-aided phototypesetting	computer-aided phototypesetting<br>计算机辅助照排(技术)
computer-aided system engineering(CASE)	computer-aided system engineering(CASE)<br>计算机辅助系统工程
computer-aided teaching	computer-aided teaching<br>计算机辅助教学;［电脑协助教学］
computer-aided testing (CAT)	computer-aided testing (CAT)<br>计算机辅助测试(技术);［电脑协助测试］
computer-aided translation	computer-aided translation<br>计算机辅助翻译;［电脑协助翻译］
Computer and Control Abstracts	Computer and Control Abstracts<br>计算机和控制文摘
computer animation	computer animation<br>计算机动画(技术)
computer application analyst	computer application analyst<br>计算机应用分析员
computer applications	computer applications<br>计算机应用(软件);［电脑应用］
computer applications engineer	computer applications engineer<br>计算机应用工程师;［电脑应用工程师］
computer architecture	computer architecture<br>计算机体系结构;［电脑体系架构］
computer art	computer art<br>计算机艺术
computer-assisted instruction	computer-assisted instruction<br>计算机辅助教学;［电脑协助教学］
computer-assisted interactive tutorial system	computer-assisted interactive tutorial system<br>计算机辅助对话式教课系统
computer-assisted learning(CAL)	computer-assisted learning(CAL)<br>计算机辅助学习法;［电脑协助教学］
computer-assisted management	computer-assisted management<br>计算机辅助管理;［电脑协助管理］
computer-assisted teaching	computer-assisted teaching<br>计算机辅助教学法
computer-augmented learning (CAL)	computer-augmented learning (CAL)<br>计算机辅助学习法
computer-based automation (CBA)	computer-based automation (CBA)<br>以计算机为基础的自动化
computer-based instruction (CBI)	computer-based instruction (CBI)<br>以计算机为基础的教学
computer-based learning(CBL)	computer-based learning(CBL)<br>以计算机为基础的教学
computer-based message system	computer-based message system<br>以计算机为基础的电文系统
computer-based training	computer-based training<br>以计算机为基础的训练法
computer bureau	computer bureau<br>计算机服务社
computer cartography	computer cartography<br>计算机制图学
computer center	computer center<br>计算中心
computer check	computer check<br>计算机校验
computer circuits	computer circuits<br>计算机电路;［电脑电路］
computer code	computer code<br>计算机代码;［电脑码］
computer communication	computer communication<br>计算机通信;［电脑通信］
computer communications system	computer communications system<br>计算机通信系统
computer conferencing	computer conferencing<br>计算机会议
computer configuration	computer configuration<br>计算机配置;［电脑组态］
computer console	computer console<br>计算机控制台;［电脑控制台］
computer console operator	computer console operator<br>计算机控制台操作员
computer control	computer control<br>计算机控制;［电脑控制］
computer-controlled system	computer-controlled system<br>计算机控制系统
computer control state	computer control state<br>计算机控制状态;［电脑控制状态］
computer crime	computer crime<br>计算机犯罪
computer data	computer data<br>计算机数据
computer decision	computer decision<br>计算机判定［决策］
computer-dependent language	computer-dependent language<br>面向计算机［计算机相关］的语言
computer-dependent programs	computer-dependent programs<br>与计算机相关的程序
computer diagram	computer diagram<br>计算机框图
computer duplex	computer duplex<br>双工计算机;［双工电脑］
computer efficiency	computer efficiency<br>计算机效率;［电脑效率］
computer engineering	computer engineering<br>计算机工程;［电脑工程］
computer equation	computer equation<br>计算机方程;［电脑方程］
computerese	computerese<br>计算机行话［术语］
computer family	computer family<br>计算机系列;［电脑系列］
computer flick	computer flick<br>计算机电影
computer fraud	computer fraud<br>计算机(欺)骗术;［电脑欺骗］
computer game	computer game<br>计算机游戏
computer-generated map	computer-generated map<br>计算机生成(的)地图
computer graphics	computer graphics<br>计算机制图技术［图形学］;［电脑图形学］
computer graphics algorithms	computer graphics algorithms<br>计算机制图算法
computer graphics input devices	computer graphics input devices<br>计算机图形输入设备;［电脑图形输入装置］
computer graphics techniques	computer graphics techniques<br>计算机图形技术
computer image processing	computer image processing<br>计算机图象处理(技术)
computer-independent language	computer-independent language<br>独立于［不依赖于］计算机的语言;［独立于电脑的语言］
computer input from microfilm (CIM)	computer input from microfilm (CIM)<br>计算机缩微胶片输入(机)
computer installation	computer installation<br>计算站［中心］;计算机安装(过程)
computer instruction	computer instruction<br>计算机指令;［电脑指令］
computer instruction code	computer instruction code<br>计算机指令码;［电脑指令码］
computer instruction set	computer instruction set<br>计算机指令系统;［电脑指令系统］
computer integrated manufacturing (CIM)	computer integrated manufacturing (CIM)<br>计算机集成制造(技术)
computer interface type	computer interface type<br>计算机接口类型
computer interface unit(CIU)	computer interface unit(CIU)<br>计算机接口部件;［电脑界面单位］
computerization	computerization<br>计算机化;［电脑化］
computerize	computerize<br>计算机化
computerized cataloging system	computerized cataloging system<br>计算机化编目系统
computerized circulation system	computerized circulation system<br>计算机化流通系统
computerized composition	computerized composition<br>计算机化排字
computerized foreman	computerized foreman<br>计算机工长
computerized mail	computerized mail<br>计算机邮递(技术)
computerized microfilm	computerized microfilm<br>计算机化缩微胶卷
computerized numerical control (CNC)	computerized numerical control (CNC)<br>计算机化数字控制(系统);［电脑数值控制］
computerized tomography(CT)	computerized tomography(CT)<br>计算机X射线断层术
computer kit	computer kit<br>计算机成套元件
computer language	computer language<br>计算机语言;［电脑语言］
computer language symbols	computer language symbols<br>计算机语言符号
computer learning	computer learning<br>计算机学习(法);［电脑学习］
computer leasing company	computer leasing company<br>计算机出租公司
computer letter	computer letter<br>计算机信件;［电脑信件］
computer-limited	computer-limited<br>【修】受计算机限制的;［电脑限制］
computer-limited operation	computer-limited operation<br>受计算机限制的操作;［电脑限制运算］
computer literacy	computer literacy<br>计算机扫盲
computer logic	computer logic<br>计算机逻辑;［电脑逻辑］
computer-managed instruction(CMI)	computer-managed instruction(CMI)<br>计算机管理教学
computer manager	computer manager<br>计算机经理
computer matrix	computer matrix<br>计算机矩阵;［电脑矩阵］
computer micrographics	computer micrographics<br>计算机缩微图形学［技术］
computer museum	computer museum<br>计算机博物馆
computer music	computer music<br>计算机音乐;［电脑音乐］
computer network	computer network<br>计算机网(络);［电脑网路］
computer network components	computer network components<br>计算机网络部件
computer network facilities	computer network facilities<br>计算机网络设备;［电脑网络设施］
computer network services	computer network services<br>计算机网络服务;［电脑网路服务］
computer numerical control(CNC)	computer numerical control(CNC)<br>计算机数(字)控(制)系统
computer on-slice	computer on-slice<br>单片(式计算)机
computer-operated memory test system	computer-operated memory test system<br>计算机控制存储器测试系统
computer operation	computer operation<br>计算机操作;［电脑运算］
computer operator	computer operator<br>计算机操作员;［电脑操作员］
computer organization	computer organization<br>计算机组织(法)
computer-oriented language	computer-oriented language<br>面向计算机的语言;［电脑导向语言］
computer output microfilm(COM)	computer output microfilm(COM)<br>计算机输出缩微胶片;［电脑输出微胶片法］
computer output microfilmer (COM)	computer output microfilmer (COM)<br>计算机输出胶片缩微机
computer output microfilming(COM)	computer output microfilming(COM)<br>计算机输出胶片缩微技术
computer-output typesetting	computer-output typesetting<br>计算机输出排印法
computer performance evaluation (CPE)	computer performance evaluation (CPE)<br>计算机性能评价
computer peripherals	computer peripherals<br>计算机外围设备;［电脑周边设备］
computer phone	computer phone<br>计算机电话;［电脑电话］
computer power	computer power<br>计算机性能［能力］
computer process control system	computer process control system<br>计算机过程控制系统
computer processing cycle	computer processing cycle<br>计算机处理周期;［电脑处理周期］
computer program	computer program<br>计算机程序;［电脑程式］
computer program abstract	computer program abstract<br>计算机程序摘要
computer program annotation	computer program annotation<br>计算机程序注释;［电脑程式注释］同comment。\n
computer program certification	computer program certification
computer program configuration identification	computer program configuration identification<br>计算机程序配置标识
computer programming	computer programming<br>计算机编程技术;［电脑程式规划］
computer program origin	computer program origin<br>计算机程序起点［起始地址］;［电脑程式原点］
computer program validation	computer program validation<br>计算机程序确认见validation。\n
computer program verification	computer program verification
computer-readable	computer-readable<br>【修】计算机可读的
computer run	computer run<br>计算机运行
computer science	computer science<br>计算机科学;［电脑科学］
computer security	computer security<br>计算机安全学
computer service organization	computer service organization<br>计算机服务机构
computer simulator	computer simulator<br>计算机模拟程序［仿真程序］;［电脑模拟程式］
computer storage	computer storage<br>计算机存储器
computer store	computer store<br>计算机商店
computer system	computer system<br>计算机系统;［电脑系统］
computer-system audit	computer-system audit<br>计算机系统审计;［电脑系统审计］
computer system security	computer system security<br>计算机系统保安
computer theory	computer theory<br>计算机理论;［电脑理论］
computer time	computer time<br>计算机时间
computer tomography(CT)	computer tomography(CT)<br>计算机X射线断层术［图,造影］;［电脑断层摄影法］
computer to plate	computer to plate<br>计算机印版
computer users association (CUA)	computer users association (CUA)<br>计算机用户协会
computer users group	computer users group<br>计算机用户团体
computer utility	computer utility<br>计算机公用程序;［电脑应用］
computer virus	computer virus<br>计算机病毒
computer word	computer word<br>计算机字
computing	computing<br>计算(技术)
computing amplifier	computing amplifier<br>运［计］算放大器
computing complexity	computing complexity<br>计算复杂性
computing element	computing element<br>计算部件
computing machine	computing machine<br>计算机
computing machinery	computing machinery<br>计算机
computing power	computing power<br>计算能力
computing system	computing system<br>计算(机)系统
computing system catalog	computing system catalog<br>计算机系统目录
computing unit	computing unit<br>计算装置［部件］
concatenate	concatenate<br>【动】连接,结合,并置
concatenated data sets	concatenated data sets<br>并置数据集;［序连资料集］
concatenated field	concatenated field<br>连接［并置］字段;［序连栏］
concatenated key	concatenated key<br>连接［并置］关键字
concatenation	concatenation<br>连接,结合,并置;［序连］
concatenation character	concatenation character<br>连接［并置］(字)符;［序连字元］
concatenation operator	concatenation operator<br>连接［并置］运算符;［序连运算子］
conceal	conceal<br>隐蔽
concealed device	concealed device<br>隐蔽设备
concentrated messages	concentrated messages<br>集中报文;［集中讯息］
concentration	concentration<br>集中
concentrator	concentrator<br>集中［线］器;［集讯器］
concentrator data ready queue (DRQ)	concentrator data ready queue (DRQ)<br>集中器数据就绪队列
concentrator device ID table	concentrator device ID table<br>集中器设备标识表
concentrator error control	concentrator error control<br>集中器差错控制
concentrator terminal buffer (CTB)	concentrator terminal buffer (CTB)<br>集中器终端缓冲区
concept coordination	concept coordination<br>概念组配［配位］
conceptual language	conceptual language<br>概念语言
conceptual mode	conceptual mode<br>概念模型
conceptual modeling	conceptual modeling<br>概念建模法
conceptual network model	conceptual network model<br>概念网络模型
conceptual schema	conceptual schema<br>概念模式
conceptual system design	conceptual system design<br>概念系统设计
concordance	concordance<br>词汇索引
concordance program	concordance program<br>索引程序
concrete syntax	concrete syntax<br>具体语法
concurrency	concurrency<br>并行［发］(性)
concurrency control	concurrency control<br>并发控制
concurrent	concurrent<br>【修】并发的,并行的;［同作,并行］
concurrent access	concurrent access<br>并发［行］存取［访问］;［同作［并行］接达］
concurrent control count	concurrent control count<br>并行控制点数
concurrent control system	concurrent control system<br>并行控制系统;［同作控制系统］
concurrent conversion	concurrent conversion<br>并行转换
concurrent input/output	concurrent input／output<br>并行［并发］输入输出;［同作输出入］
concurrent operating control	concurrent operating control<br>并发［行］操作控制;［同作运算控制］
concurrent operation	concurrent operation<br>并发［行］操作;［同作运算］
concurrent peripheral operation	concurrent peripheral operation<br>并行［发］外围操作;［同作周边运算］
concurrent processes	concurrent processes<br>并行［发］进程
concurrent processing	concurrent processing<br>并发［行］处理法;［同作处理］
concurrent programming	concurrent programming<br>并发［行］程序设计(法);［同作程式规划］
concurrent real-time processing	concurrent real-time processing<br>并发［行］实时处理
concurrent working	concurrent working<br>并发［行］工作法
condense	condense<br>【动】浓缩
condensed deck	condensed deck<br>浓缩卡片组［叠］;［浓缩叠卡］
condensed instruction deck	condensed instruction deck<br>浓缩指令卡片组［叠］;［浓缩指令叠卡］
condensed pack	condensed pack<br>浓缩穿孔卡片组［叠］
condensing routine	condensing routine<br>压缩程序;［浓缩常式］
condition	condition<br>条件,状态
conditional assembly	conditional assembly<br>条件汇编;［条件组合］
conditional assembly expression	conditional assembly expression<br>条件汇编表达式;［条件组合表白］
conditional assembly instruction	conditional assembly instruction<br>条件汇编指令;［条件组组合指令］
conditional branch	conditional branch<br>条件转移;［条件分支］
conditional branch instruction	conditional branch instruction<br>条件转移指令;［条件分支指令］
conditional breakpoint	conditional breakpoint<br>条件断点
conditional breakpoint instruction	conditional breakpoint instruction<br>条件断点指令
conditional capture	conditional capture<br>条件收集
conditional code	conditional code<br>条件码
conditional compilation	conditional compilation<br>条件编译
conditional construct	conditional construct<br>条件结构
conditional construction	conditional construction<br>条件结构
conditional control structure	conditional control structure<br>条件控制结构
conditional control transfer instruction	conditional control transfer instruction<br>条件控制转移指令
conditional entropy	conditional entropy<br>条件熵
conditional expression	conditional expression<br>条件表达式
conditional external reference	conditional external reference<br>条件外部引用
conditional force	conditional force<br>条件强制
conditional implication gate	conditional implication gate<br>条件蕴含门
conditional implication operation	conditional implication operation<br>条件蕴含操作
conditional information content	conditional information content<br>条件信息量;［条件资讯量］
conditional instruction	conditional instruction<br>条件指令
conditional jump	conditional jump<br>条件转移;［条件跳越］
conditional jump instruction	conditional jump instruction<br>条件转移指令;［条件跳越指令］
conditional operator	conditional operator<br>条件运算符;［条件运算子］
conditional request	conditional request<br>条件请求
conditional return	conditional return<br>条件返回
conditional statement	conditional statement<br>条件语句;［条件叙述］
conditional stop instruction	conditional stop instruction<br>条件停机指令
conditional transfer	conditional transfer<br>条件转移
conditional transfer instruction	conditional transfer instruction<br>条件转移指令
conditional transfer of control	conditional transfer of control<br>控制权条件转移(指令)
conditional variable	conditional variable<br>条件变量;［条件变数］
condition code	condition code<br>状态［特征］码;［条件码］
conditioned circuit	conditioned circuit<br>可调电路
conditioned line	conditioned line<br>可调线路
condition entry	condition entry<br>(判定表的)条件项
condition/event system	condition／event system<br>条件事件系统
condition expression	condition expression<br>条件表达式
condition handler	condition handler<br>条件［状态］处理程序
condition-incident log (CIL)	condition-incident log (CIL)<br>条件事件记录
condition indicators	condition indicators<br>条件指示器
conditioning	conditioning<br>调节
conditioning equipment	conditioning equipment<br>调节设备
condition list	condition list<br>条件表
condition mask	condition mask<br>条件掩码
condition name	condition name<br>条件名
condition-name condition	condition-name condition<br>条件名条件
condition number	condition number<br>条件［状态］数
condition portion	condition portion<br>条件区
condition prefix	condition prefix<br>条件前缀
condition stub	condition stub<br>条件栏
condition sum adder	condition sum adder<br>条件和加法器
condition value	condition value<br>条件(状态)值
conductor access bubble device	conductor access bubble device<br>导体存取磁泡器件
conductor flat cable (dc bus)	conductor flat cable (dc bus)<br>导线扁平电缆(直流总线)
conductor propagation of bubble	conductor propagation of bubble<br>磁泡导体传输
conference call	conference call<br>会议呼叫
conference connection	conference connection<br>会议连接;［协议连接］
Conference on Data System Languages (CODASYL)	Conference on Data System Languages (CODASYL)<br>数据系统语言协会
Conference Papers Index	Conference Papers Index<br>(CONF或CPI)会议论文索引
confidence interval	confidence interval<br>可信度区间;［信任区间］
confidence level	confidence level<br>可信度
confidence program	confidence program<br>可信度检测程序
confidence test	confidence test<br>可信度测试
confidentiality	confidentiality<br>机密性
configuration	configuration<br>配置;［组态］
configuration assignment unit (CAU)	configuration assignment unit (CAU)<br>结构分配部件
configuration audit	configuration audit<br>配置审计
configuration control	configuration control<br>配置控制
configuration control board	configuration control board<br>配置控制委员会
configuration database	configuration database<br>系统配置数据库;［组态资料库］
configuration identification	configuration identification<br>配置标识
configuration image	configuration image<br>配置映象
configuration item	configuration item<br>配置项
configuration management	configuration management<br>配置管理
configuration procedure	configuration procedure<br>配置过程
configuration register	configuration register<br>配置寄存器;［组态暂存器］
configuration report program (CRP)	configuration report program (CRP)<br>配置报告程序;［组态报告程式］
configuration restart	configuration restart<br>配置重启动(程序);［组态重始(程式)］
configuration section	configuration section<br>配置节;［组态区］
configuration services	configuration services<br>配置服务(程序)
configuration state	configuration state<br>配置状态
configuration status accounting	configuration status accounting<br>配置状态报告
configuration table	configuration table<br>配置表
configure	configure<br>【动】配置;成套
configured in	configured in<br>【修】配置之中(的)
configured off	configured off<br>【修】配置之外(的)
configured out	configured out<br>【修】配置之外(的)
confined area cables	confined area cables<br>轻便电缆
confinement	confinement<br>监护
confirmation	confirmation<br>确认,认可
confirmation signalling	confirmation signalling<br>确认信令(法)
conflation algorithm	conflation algorithm<br>归并算法
conflation of words	conflation of words<br>词归并法
conflict	conflict<br>冲突
conflict resolution	conflict resolution<br>冲突消解法
conformity	conformity<br>符合度
conformity accuracy	conformity accuracy<br>符合精度
confusion	confusion<br>含混
confusion matrix	confusion matrix<br>含混矩阵
confusion signal	confusion signal<br>混乱信号
congestion	congestion<br>拥塞
congestion control	congestion control<br>拥塞控制程序
congestion loss	congestion loss<br>拥塞丢失
congestion signal	congestion signal<br>拥塞信号
congruence relation	congruence relation<br>同余关系,全等关系
congruential generator	congruential generator<br>同余数生成程序［法］;［同余数产生器］
conjecture	conjecture<br>推测
conjugate direction method	conjugate direction method<br>共轭方向法
conjugate gradient method	conjugate gradient method<br>共轭斜量［梯度］法
conjugate selecting	conjugate selecting<br>共轭选择法
conjunct	conjunct<br>合取项
conjunction	conjunction<br>“与”;合取
conjunctive normal form	conjunctive normal form<br>合取范式
conjunctive search	conjunctive search<br>按“与”［逻辑乘］检索法;［共结搜寻］
connect	connect<br>连接
connected	connected<br>【修】连接,已连(通)
connected graph	connected graph<br>连通［接］图;［连接图形］
connectedness	connectedness<br>连通度
connected reference	connected reference<br>连接访问
connected storage	connected storage<br>连接存储器;［连接储存器］
connected undirected graph	connected undirected graph<br>连通无向图
connect function	connect function<br>连接操作
connecting arrangement service	connecting arrangement service<br>连接配线服务
connection	connection<br>连接,连通(关系)
connection box	connection box<br>插接器［板］;［连接箱,接合匣］
connection end-point	connection end-point<br>连接端点
connection identifier(CID)	connection identifier(CID)<br>连接标识符
connectionism	connectionism<br>连接法［主义］
connectionist paradigm	connectionist paradigm<br>连接主义范体
connectionless-mode network service	connectionless-mode network service<br>无连接方式网络服务
connectionless-mode transport protocol	connectionless-mode transport protocol<br>无连接方式运［传］输协议
connectionless-mode transport service	connectionless-mode transport service<br>无连接方式运输服务
connectionless(service)	connectionless(service)<br>无连接(服务)
connection name	connection name<br>连接名(字)
connection-oriented network service	connection-oriented network service<br>面向连接的网络服务(程序)
connection point manager	connection point manager<br>连接点管理程序
connection retainability	connection retainability<br>连接维持度
connection time	connection time<br>连接［接通］时间
connection trap	connection trap<br>连接陷阱
connection type	connection type<br>连接类型
connection word	connection word<br>连接字
connective	connective<br>连接词
connective word	connective word<br>连接字
connectivity	connectivity<br>连接性，连通性
connectivity analysis	connectivity analysis<br>连通性分析
connectivity matrix	connectivity matrix<br>连接矩阵
connect message	connect message<br>连接报文
connect node	connect node<br>连接点
connector	connector<br>连接符;［连接器］
connector assembly	connector assembly<br>接插件,插头座
connector node	connector node<br>连接网点
connect password	connect password<br>连接口令
connect time	connect time<br>连接［接通］时间
conscious error	conscious error<br>可意识错误
consecutive	consecutive<br>连续的，相继的
consecutive access	consecutive access<br>连续存取;［连续接达］
consecutive data set	consecutive data set<br>连续数据集;［连续资料集］
consecutive data set organization	consecutive data set organization<br>连续数据集组织
consecutive operation	consecutive operation<br>连续操作
consecutive organization	consecutive organization<br>连续组织
consecutive processing	consecutive processing<br>连续处理法
consecutive sequence computer	consecutive sequence computer<br>连续顺序计算机;［连序电脑］
consecutive spilling	consecutive spilling<br>连续溢出法
consensus	consensus<br>合意
consistency check	consistency check<br>一致性检查;［一致性核对］
consistency error	consistency error<br>一致性误差
consistency operation	consistency operation<br>一致性操作
console	console<br>控制台
console debugging	console debugging<br>控制台调试法;［控制台除错］
console display	console display<br>控制台显示器
console display keyboard	console display keyboard<br>控制台显示器键盘
console display register	console display register<br>控制台显示寄存器;［控制台显示暂存器］
console document copying machine	console document copying machine<br>控制台式资料拷贝机
console file adapter	console file adapter<br>控制台文件适配器;［控制台档案配接器］
console function	console function<br>控制台操作程序
console input buffer	console input buffer<br>控制台输入缓冲区
console log	console log<br>控制台日志
console monitor typewriter	console monitor typewriter<br>控制台监控打字机
console operator	console operator<br>控制台操作员
console printer	console printer<br>控制台打印机;［控制台印字机］
console spooling	console spooling<br>控制台假脱机(技术)见virtual console spooling。\n
console stack	console stack
console start-up	console start-up<br>控制台启动
console switch	console switch<br>控制台开关;［操作开关］
console terminal	console terminal<br>控制台终端
console typewriter	console typewriter<br>控制台打字机;［键盘打字机］
console word processing equipment	console word processing equipment<br>控制台字处理设备
consolidate	consolidate<br>整理,合并
constant	constant<br>常数,常量
constant address	constant address<br>不变地址;［不变位址］
constant angular velocity (CAV)	constant angular velocity (CAV)<br>恒定角速度
constant area	constant area<br>常数(存储)区
constant broadcast	constant broadcast<br>常数传播
constant function	constant function<br>常数函数
constant instruction	constant instruction<br>常数指令
constant length field	constant length field<br>定长字段
constant letter	constant letter<br>常量字母
constant linear velocity(CLV)	constant linear velocity(CLV)<br>恒定线速度
constant multiplier	constant multiplier<br>常数倍乘器
constant-pitch spacing mechanism	constant-pitch spacing mechanism<br>等距间隔机构
constant ratio code	constant ratio code<br>定比码
constant section	constant section<br>常数区域
constant spacing	constant spacing<br>恒定间距
constant storage	constant storage<br>常数存储区;［常数储存区］
constant symbol	constant symbol<br>常项符号
constant value	constant value<br>常数,常量;［定值］
constant words	constant words<br>固定字
constrained least squares restoration	constrained least squares restoration<br>约束最小二乘复原法
constrained via minimization(CVM)	constrained via minimization(CVM)<br>有约束通孔最小化(问题)
constraint	constraint<br>约束
constraint condition	constraint condition<br>约束条件
constraint matrix	constraint matrix<br>约束矩阵
constraints graph	constraints graph<br>约束图
constructing	constructing<br>合组,成组
construction operator	construction operator<br>构造操作符
constructive placement algorithm	constructive placement algorithm<br>构造性布局算法
